step,S,E,I,R,inc,beta,Rt
178,7248,0,0,92752,0,0.625,0.1812
179,7248,0,0,92752,0,0.625,0.1812
180,7248,0,0,92752,0,0.625,0.1812
181,7248,0,0,92752,0,0.625,0.1812
182,7248,0,0,92752,0,0.625,0.1812
183,7248,0,0,92752,0,0.625,0.1812
184,7248,0,0,92752,0,0.625,0.1812
185,7248,0,0,92752,0,0.625,0.1812
186,7248,0,0,92752,0,0.625,0.1812
187,7248,0,0,92752,0,0.625,0.1812
188,7248,0,0,92752,0,0.625,0.1812
189,7248,0,0,92752,0,0.625,0.1812
190,7248,0,0,92752,0,0.625,0.1812
191,7248,0,0,92752,0,0.625,0.1812
192,7248,0,0,92752,0,0.625,0.1812
193,7248,0,0,92752,0,0.625,0.1812
194,7248,0,0,92752,0,0.625,0.1812
195,7248,0,0,92752,0,0.625,0.1812
196,7248,0,0,92752,0,0.625,0.1812
197,7248,0,0,92752,0,0.625,0.1812
198,7248,0,0,92752,0,0.625,0.1812
199,7248,0,0,92752,0,0.625,0.1812
200,7248,0,0,92752,0,0.625,0.1812
201,7248,0,0,92752,0,0.625,0.1812
202,7248,0,0,92752,0,0.625,0.1812
203,7248,0,0,92752,0,0.625,0.1812
204,7248,0,0,92752,0,0.625,0.1812
205,7248,0,0,92752,0,0.625,0.1812
206,7248,0,0,92752,0,0.625,0.1812
207,7248,0,0,92752,0,0.625,0.1812
208,7248,0,0,92752,0,0.625,0.1812
209,7248,0,0,92752,0,0.625,0.1812
210,7248,0,0,92752,0,0.625,0.1812
211,7248,0,0,92752,0,0.625,0.1812
212,7248,0,0,92752,0,0.625,0.1812
213,7248,0,0,92752,0,0.625,0.1812
214,7248,0,0,92752,0,0.625,0.1812
215,7248,0,0,92752,0,0.625,0.1812
216,7248,0,0,92752,0,0.625,0.1812
217,7248,0,0,92752,0,0.625,0.1812
218,7248,0,0,92752,0,0.625,0.1812
219,7248,0,0,92752,0,0.625,0.1812
220,7248,0,0,92752,0,0.625,0.1812
221,7248,0,0,92752,0,0.625,0.1812
222,7248,0,0,92752,0,0.625,0.1812
223,7248,0,0,92752,0,0.625,0.1812
224,7248,0,0,92752,0,0.625,0.1812
225,7248,0,0,92752,0,0.625,0.1812
226,7248,0,0,92752,0,0.625,0.1812
227,7248,0,0,92752,0,0.625,0.1812
228,7248,0,0,92752,0,0.625,0.1812
229,7248,0,0,92752,0,0.625,0.1812
